,cell.ID,nucleus.x,nucleus.y,CD15.score.normalized,CK.score.normalized,CD3.score.normalized,CD11c.score.normalized,CD20.score.normalized,CD163.score.normalized,tissue.type,in.ROI.adipose_tissue,in.ROI.necrosis,in.ROI.tumor_tissue
221,293,9596.65,45764.69,0.0,0.87,0.5,0.04,0.19,0.2,stroma,False,False,True
222,294,9520.71,45536.09,0.62,0.0,0.45,0.23,0.3,0.7,stroma,False,False,True
223,295,9690.06,45762.84,0.0,2.46,0.09,0.33,0.17,0.0,stroma,False,False,True
224,296,9589.0,45672.24,0.0,1.39,0.25,0.28,0.12,0.0,tumor,False,False,True
225,297,9842.89,45414.07,0.0,0.32,0.35,0.0,0.02,0.0,stroma,False,False,True
226,298,9470.84,45736.18,0.72,0.0,0.58,0.0,0.17,0.38,stroma,False,False,False
227,299,9677.17,45614.3,0.33,0.11,0.6,0.21,0.08,0.53,stroma,False,False,True
228,300,9863.7,45507.54,0.21,0.99,0.36,0.0,0.05,0.17,stroma,False,False,True
229,301,9809.3,45636.34,0.0,0.08,0.3,0.28,0.02,0.2,stroma,False,False,True
230,302,9847.55,45623.42,0.18,0.13,0.78,0.16,0.08,0.09,stroma,False,False,True
231,303,9929.98,45758.21,0.09,0.68,0.46,0.0,0.05,0.04,stroma,False,False,True
232,304,9817.19,45471.38,0.0,0.0,0.49,0.1,0.04,0.0,stroma,False,False,True
233,305,9870.26,45392.78,0.0,0.92,0.37,0.47,0.01,0.18,stroma,False,False,True
234,306,9557.72,45670.42,0.07,0.0,0.12,0.3,0.1,0.27,tumor,False,False,True
235,307,9849.78,45456.01,0.0,0.0,0.53,0.32,0.06,0.0,stroma,False,False,True
236,308,9828.08,45492.28,0.14,0.09,0.11,0.27,0.04,1.4,stroma,False,False,True
237,309,9722.18,45438.52,0.47,0.0,0.63,0.0,0.04,0.0,stroma,False,False,True
238,310,9757.04,45308.56,0.38,0.38,0.08,0.09,0.0,0.11,stroma,False,False,True
239,311,9577.65,45683.75,0.0,0.67,0.2,0.0,0.08,0.23,stroma,False,False,True
240,312,9545.81,45682.94,0.0,1.21,0.39,0.0,0.08,0.26,stroma,False,False,True
241,313,9612.8,45721.27,0.52,0.73,0.23,0.25,0.17,0.2,stroma,False,False,True
242,314,9667.61,45496.4,0.0,0.78,0.29,0.2,0.08,0.26,stroma,False,False,True
243,315,9846.58,45253.07,0.0,1.09,0.34,0.24,0.02,0.2,stroma,False,False,True
244,316,9827.39,45553.96,0.16,0.53,1.28,0.28,0.64,2.49,tumor,False,False,True
245,317,9819.43,45638.22,0.0,1.0,0.3,0.19,0.07,0.23,stroma,False,False,True
246,318,9741.91,45438.71,0.0,0.36,0.51,0.0,0.03,0.48,stroma,False,False,True
247,319,9670.44,45725.38,0.23,0.0,0.53,0.18,0.06,0.39,stroma,False,False,True
248,320,9692.74,45311.39,0.0,0.55,0.25,0.21,0.07,0.3,stroma,False,False,True
249,321,9649.34,45793.59,0.0,1.63,0.34,0.1,0.06,0.78,stroma,False,False,True
250,322,9618.73,45610.21,0.0,2.87,0.23,0.06,0.11,0.24,stroma,False,False,True
251,323,9811.72,45746.08,0.26,0.39,0.51,0.05,0.04,0.01,stroma,False,False,True
252,324,9712.26,45265.73,0.21,0.27,0.69,0.38,0.01,0.25,stroma,False,False,False
253,325,9811.78,45520.67,0.13,0.0,0.89,0.0,0.07,0.07,stroma,False,False,True
254,326,9822.7,45481.12,0.32,0.29,0.8,0.08,0.04,0.01,stroma,False,False,True
255,327,9883.53,45449.45,0.16,0.36,0.38,0.02,0.09,0.37,stroma,False,False,True
256,328,9642.5,45659.0,0.09,1.23,0.51,0.08,0.17,0.64,stroma,False,False,True
257,329,9573.57,45735.7,0.22,1.58,0.15,0.22,0.17,0.13,tumor,False,False,True
258,330,9698.32,45830.54,0.39,0.45,0.45,0.0,0.11,0.89,stroma,False,False,True
259,331,9553.02,45666.89,0.0,1.9,0.0,0.3,0.16,0.11,tumor,False,False,True
