,cell.ID,nucleus.x,nucleus.y,CD4.score.normalized,CK.score.normalized,CD3.score.normalized,CD56.score.normalized,CD8.score.normalized,FOXP3.score.normalized,tissue.type,in.ROI.adipose_tissue,in.ROI.tumor_tissue
263,652,14603.55,38535.38,1.07,0.58,1.51,0.35,0.58,0.14,stroma,False,True
264,653,14818.58,38286.21,3.07,0.3,5.48,0.6,0.62,0.56,stroma,False,True
265,654,14769.58,38115.12,1.06,0.27,1.3,0.06,0.44,1.1,stroma,False,True
266,655,14485.07,38478.98,0.71,0.29,0.15,0.39,1.51,0.0,stroma,False,True
267,656,14795.81,38254.2,0.33,0.47,0.5,0.16,0.77,0.0,stroma,False,True
268,657,14901.59,38443.78,0.0,0.0,0.1,0.02,0.0,0.0,stroma,False,True
269,658,15006.76,38043.55,0.04,0.36,5.08,0.36,4.46,0.32,stroma,False,True
270,659,14761.37,38559.64,0.61,0.26,1.06,0.11,0.0,0.33,stroma,False,True
271,660,14997.5,38082.6,0.0,0.14,0.21,1.6,0.47,0.07,stroma,False,True
272,661,14791.92,38268.84,0.23,0.15,3.9,0.31,0.0,0.25,stroma,False,True
273,662,14646.83,38624.31,0.0,1.15,0.0,0.1,0.04,0.0,tumor,False,True
274,663,14886.61,38287.15,2.86,0.16,5.98,0.41,1.09,0.17,stroma,False,True
275,664,14748.63,38213.2,0.0,0.43,0.29,0.15,0.15,0.55,stroma,False,True
276,665,14792.56,38597.33,0.19,0.14,0.06,0.11,0.0,0.16,stroma,False,True
277,666,14419.7,38134.66,0.0,0.09,0.13,0.13,0.0,0.0,stroma,False,True
278,667,14726.05,38513.83,3.87,0.25,8.78,5.0,4.52,1.02,stroma,False,True
279,668,14680.75,38133.55,0.24,0.06,0.04,0.06,0.1,0.07,stroma,False,True
280,669,14632.92,38156.61,0.13,0.0,0.11,0.09,0.0,0.0,stroma,False,True
281,670,14598.76,38613.8,0.0,3.16,0.21,0.23,0.15,0.15,tumor,False,True
282,671,14428.31,38155.86,0.0,0.12,0.0,0.13,0.32,0.14,stroma,False,True
283,672,14900.95,38198.52,1.38,0.37,2.26,0.19,0.24,0.21,stroma,False,True
284,673,14535.92,38058.73,0.05,0.03,0.0,0.0,0.16,0.1,stroma,False,True
285,674,14739.6,38374.62,0.0,0.23,0.04,0.11,0.0,0.06,stroma,False,True
286,675,14554.71,38176.36,0.47,0.16,0.41,0.09,0.0,0.03,stroma,False,True
287,676,14494.74,38260.68,0.0,0.29,0.13,0.0,0.08,0.59,stroma,False,True
288,677,14962.59,38194.49,0.15,0.06,0.55,0.12,1.18,0.35,stroma,False,True
